"uri","did","subject","created_at"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kkmfp2bi7k2p","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:q6gjnaw2blty4crticxkmujt","2024-02-04T18:57:17.564Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehapfzpf24","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:y5xyloyy7s4a2bwfeimj7r3b","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3ka2zym3a6l2h","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:565ebob5f6hw33hjdkxty6qj","2023-09-23T15:00:41.480Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kjubsgw5bc2d","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:qjeavhlw222ppsre4rscd3n2","2024-01-26T04:43:42.832Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehapfzrq27","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:dc7ljhd5unt5lduck3cjlh5m","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehapfzze25","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:h7rtjgv56vl3m7gpr5w7gak6","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kh6flq4gnf2q","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:4j3rakc3dz55wtchvv5xfjye","2023-12-23T01:02:34.988Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgsc2sbiqp27","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:6oxh4gnye2ycw7fycevmu5wj","2023-12-18T05:27:28.813Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kkhmeqai522u","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:3jpt2mvvsumj2r7eqk4gzzjz","2024-02-02T21:13:29.035Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehapf2o62k","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:asqzx6rczsdyyyjr42d25j2s","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3k5flbaayrv2r","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:cfvhhvw2gsevjqu2t5r5ixhe","2023-08-20T15:20:47.140Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kkspm4wnnn2r","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:252n5cfhxlwdzzeixqw7tbem","2024-02-07T07:10:35.469Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kepevijbwu2o","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:o3nvfo4xwdyb2jztw5t5ydtc","2023-11-21T14:49:49.591Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehapf2st2z","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:pcpi6qxk2way6nwduaagtih6","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kkrh7xoos22t","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:3t7usgnfln3btgqahsaiq4fj","2024-02-06T19:07:57.690Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kjle4qrlhk2h","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:rje4snbb7obj6twr4gji7ssm","2024-01-22T15:31:18.552Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3k5mzlnwzck2w","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:rqqoahqiusclccfzwk7xz4lx","2023-08-23T14:25:47.640Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehapg2ur2l","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:usgfpkes2rhrukcphjtkcd34","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgelyqosti2g","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:cyo4fmu7ktbgaobgasfoja4g","2023-12-12T18:48:00.881Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3klqknkjclj2u","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:fdme4gb7mu7zrie7peay7tst","2024-02-19T04:01:46.108Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3k726uvgvkz2c","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:ragtjsm2j2vknwkz3zp4oxrd","2023-09-10T13:30:14.379Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kh3gadah2t2f","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:vpkhqolt662uhesyj6nxm7ys","2023-12-21T20:36:06.935Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgscd66pvh24","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:cak4klqoj3bqgk5rj6b4f5do","2023-12-18T05:32:09.529Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehapezi72s","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:aeuetvb7vac3xay76nkphbks","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgsccunx522r","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:acm2yz57z6weqbdbw5lpluu3","2023-12-18T05:31:59.741Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehape3jw2v","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:eyhvni3fzn54ukabhjrntjt6","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgelyqotge27","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:3lqddbjjlbu2ernjfimok6uw","2023-12-12T18:48:00.881Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgscizndwc27","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:xrr5j2okn7ew2zvcwsxus3gb","2023-12-18T05:35:26.233Z"
